,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Lao PDR,LAO,-0.72,0.34,2,28.49,4.84,50.54,-0.6,0.3,3,32.47,12.89,51.55,-0.89,0.27,4,21.32,3.55,38.58,-1.15,0.29,4,8.59,0,31.31,-1.18,0.24,5,8.59,0,24.75,-1.24,0.22,7,9.27,0.98,20.98,-1.3,0.22,7,6.83,0,17.56,-1.31,0.2,8,6.34,0.49,17.56,-1.27,0.2,8,7.28,0.49,18.45,-1.2,0.19,9,7.77,1.94,19.42,-1.24,0.18,10,6.22,0.96,18.18,-1.19,0.18,10,8.57,1.43,19.05,-1.18,0.18,10,9.95,1.42,19.91,-1.02,0.19,10,15.64,3.32,27.49,-0.93,0.18,11,18.48,9,30.33,-0.85,0.18,10,21.15,11.06,34.13,-0.91,0.17,9,17.79,10.1,31.25,-0.95,0.18,9,14.42,9.62,29.33,-0.94,0.17,9,15.87,10.1,28.37
Lebanon,LBN,-0.66,0.26,4,31.18,13.98,49.46,-0.45,0.22,5,40.72,25.26,53.61,-0.54,0.23,5,34.52,19.29,53.3,-0.48,0.19,6,38.38,26.77,52.53,-0.67,0.2,6,30.3,13.13,45.45,-0.66,0.19,7,28.29,15.12,43.41,-0.53,0.18,7,37.56,20.98,51.22,-0.94,0.17,10,18.54,7.32,30.24,-0.89,0.17,10,19.42,8.74,32.52,-0.82,0.17,11,20.87,12.62,34.95,-0.83,0.17,12,21.53,11.96,33.97,-0.88,0.16,13,20,12.38,31.9,-0.9,0.15,14,19.43,11.85,28.44,-0.87,0.14,13,19.43,11.85,31.28,-0.92,0.14,13,19.43,10.9,27.49,-1.04,0.14,11,13.94,8.17,23.08,-0.88,0.14,12,19.23,12.02,29.33,-0.97,0.14,12,13.94,10.1,24.52,-1,0.13,12,14.9,10.1,21.15
Liberia,LBR,-1.5,0.32,3,2.15,0,17.2,-1.7,0.27,5,0.52,0,6.19,-1.49,0.27,5,2.54,0,12.18,-1.29,0.3,4,4.04,0,26.26,-1.26,0.25,5,6.06,0,20.71,-1.32,0.22,6,7.32,0,16.1,-1.2,0.22,6,10.73,0.49,20.98,-0.72,0.22,7,27.32,14.15,41.95,-0.46,0.23,7,37.86,19.9,54.85,-0.74,0.19,11,26.21,14.56,39.32,-0.59,0.17,13,31.58,20.1,46.89,-0.56,0.17,13,32.86,20.95,47.62,-0.67,0.16,14,27.49,18.48,40.76,-0.6,0.13,16,32.7,22.27,43.13,-0.71,0.13,16,26.54,18.48,37.91,-0.77,0.14,14,24.04,14.42,34.62,-0.65,0.13,15,29.81,19.23,41.35,-0.72,0.14,14,25.48,14.42,35.1,-0.69,0.13,14,26.44,16.35,38.94
Libya,LBY,-0.87,0.26,4,20.43,3.76,39.25,-0.91,0.23,4,20.62,4.12,35.05,-0.87,0.26,4,22.84,5.08,38.58,-0.95,0.22,4,18.69,3.03,32.32,-0.88,0.22,5,19.19,7.07,35.35,-0.91,0.21,6,18.54,8.78,33.66,-0.96,0.2,6,17.56,7.32,30.73,-1.08,0.22,6,14.15,2.93,26.34,-1.05,0.2,7,14.56,3.88,27.18,-0.95,0.19,8,17.96,4.85,31.07,-1.21,0.17,9,7.66,1.44,19.14,-1.29,0.17,9,5.24,0.95,16.19,-1.3,0.18,8,5.69,0,16.59,-1.36,0.16,11,3.32,0,11.85,-1.48,0.16,12,0.95,0,9.48,-1.56,0.15,11,1.44,0,6.73,-1.62,0.16,9,0.96,0,5.29,-1.63,0.17,8,1.92,0,6.73,-1.59,0.15,8,1.92,0,7.21
St. Lucia,LCA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.19,0.57,1,63.4,29.9,84.02,0.5,0.45,1,71.57,48.22,85.28,0.32,0.5,1,67.17,36.87,83.33,0.32,0.47,1,67.68,40.4,82.83,0.31,0.29,3,64.88,51.71,75.61,1.12,0.28,3,83.41,73.17,91.71,1.05,0.31,3,82.93,72.2,91.71,1.06,0.31,3,83.01,72.33,91.75,1.16,0.32,2,83.5,73.79,91.75,1.22,0.34,2,85.17,72.73,93.78,1.2,0.34,2,84.76,72.38,92.86,1.21,0.33,2,84.36,72.51,93.36,1.01,0.3,3,81.04,70.14,90.52,1.04,0.31,3,81.52,70.14,91,0.41,0.32,3,67.31,54.33,78.85,0.62,0.23,4,71.15,63.46,80.29,0.63,0.23,4,71.15,64.42,81.25,0.59,0.24,3,71.15,61.54,81.25
Liechtenstein,LIE,1.32,0.48,1,87.1,72.04,96.77,1.38,0.46,1,89.18,74.74,96.91,1.36,0.47,1,88.83,73.1,95.43,1.35,0.44,1,88.38,74.75,95.45,1.38,0.4,1,88.89,76.26,94.95,1.37,0.4,1,89.27,75.61,96.1,1.28,0.34,1,88.29,73.66,93.17,1.26,0.42,1,88.29,72.2,94.63,1.09,0.38,2,84.47,71.36,91.75,1.19,0.37,2,83.98,73.3,93.2,1.69,0.28,3,92.34,85.17,97.61,1.85,0.29,2,93.81,88.57,99.05,1.81,0.3,2,93.84,88.15,99.05,1.8,0.31,2,93.84,87.2,99.05,1.84,0.31,2,94.79,88.15,99.53,2.08,0.3,2,97.12,91.35,100,2.06,0.29,2,96.15,91.83,100,2.04,0.31,2,96.63,90.87,100,2.06,0.28,2,97.12,91.83,100
Sri Lanka,LKA,-0.06,0.26,4,54.3,37.1,65.05,-0.15,0.22,5,51.55,35.57,63.4,-0.18,0.2,7,52.28,35.53,61.42,-0.18,0.18,7,52.02,36.87,61.11,-0.23,0.18,9,49.49,35.35,59.6,-0.15,0.17,10,52.2,39.51,58.54,-0.34,0.17,10,46.34,32.2,55.12,-0.2,0.16,12,51.22,38.54,59.02,-0.15,0.16,13,53.88,38.83,59.71,-0.23,0.16,13,50.97,37.86,59.22,-0.4,0.16,13,41.15,28.23,55.02,-0.42,0.16,13,41.43,28.1,53.81,-0.39,0.16,13,43.13,28.91,54.03,-0.24,0.14,14,50.71,38.39,58.77,-0.21,0.14,14,51.66,39.81,59.24,-0.34,0.14,13,44.71,33.17,53.37,-0.34,0.14,13,45.19,32.21,53.85,-0.31,0.14,13,45.67,32.69,55.29,-0.45,0.13,13,41.35,27.4,48.08
Lesotho,LSO,0.09,0.34,2,59.68,38.71,73.12,0.04,0.28,4,56.19,42.27,69.07,0,0.27,4,57.87,37.56,69.54,-0.09,0.27,5,54.04,34.34,67.68,-0.17,0.26,5,53.54,33.33,63.13,-0.1,0.22,6,54.15,37.56,62.93,0.02,0.23,6,57.07,45.37,66.34,0,0.19,8,57.07,43.9,65.37,-0.07,0.18,9,55.83,42.72,62.14,0.05,0.17,9,59.71,50.49,66.02,0.16,0.17,9,61.72,55.02,70.33,0.17,0.17,9,62.86,54.29,70.48,0.15,0.17,9,62.56,54.03,69.67,0.12,0.18,10,62.09,53.08,68.72,0.28,0.18,11,63.98,59.24,70.62,0.19,0.18,11,61.54,54.33,69.23,0.07,0.18,11,59.62,52.4,66.35,-0.02,0.17,12,57.21,46.15,64.9,-0.03,0.17,11,56.25,44.71,63.46
Lithuania,LTU,0.42,0.28,3,68.28,55.38,80.11,0.32,0.19,6,64.95,55.15,74.74,0.36,0.18,8,66.5,58.88,74.62,0.2,0.16,8,63.13,55.05,71.72,0.38,0.16,9,69.7,61.11,75.25,0.43,0.15,10,69.27,60,75.12,0.33,0.14,10,64.88,58.05,70.24,0.16,0.14,11,60.49,55.61,68.78,0.13,0.13,13,60.19,54.85,67.48,0.14,0.13,14,61.65,55.34,66.02,0.23,0.13,13,65.07,59.33,70.81,0.38,0.13,13,69.05,62.38,72.38,0.33,0.13,12,67.3,61.14,71.56,0.39,0.13,12,68.25,62.56,72.04,0.43,0.14,12,68.25,63.03,72.99,0.56,0.14,12,70.67,65.38,75.96,0.62,0.14,12,70.67,66.83,76.92,0.71,0.14,11,75,67.31,80.77,0.55,0.13,11,70.19,64.9,77.88
Luxembourg,LUX,1.95,0.27,4,94.62,90.32,100,1.94,0.27,4,93.81,90.72,100,2.05,0.27,4,94.42,91.88,100,2.06,0.29,3,95.45,91.41,100,1.69,0.23,4,91.92,85.86,95.96,1.84,0.21,5,93.17,91.71,97.56,1.66,0.2,5,92.68,88.29,96.1,1.88,0.19,6,94.15,91.71,98.05,1.97,0.2,6,94.17,91.75,98.54,1.97,0.2,6,95.15,91.75,98.06,1.97,0.19,7,94.74,91.87,99.04,2.05,0.2,7,95.71,92.86,100,2.16,0.2,7,98.1,93.84,100,2.12,0.18,7,96.68,93.84,100,2.12,0.18,7,97.16,94.31,100,2.07,0.18,6,96.63,93.27,100,2.1,0.17,6,97.12,92.79,100,2.1,0.17,7,97.6,92.79,100,1.99,0.15,7,96.15,92.31,99.04
Latvia,LVA,-0.2,0.28,3,50,31.18,62.9,0.17,0.19,6,61.86,51.55,69.07,-0.07,0.18,8,56.85,43.65,62.44,0.02,0.16,8,59.6,47.98,64.65,0.28,0.16,9,63.64,58.59,73.74,0.18,0.15,10,60.49,54.15,69.27,0.38,0.14,10,65.85,58.05,71.22,0.37,0.15,11,68.78,60,72.68,0.35,0.15,11,68.93,59.22,72.33,0.25,0.14,11,63.59,59.22,70.87,0.23,0.14,12,64.59,59.33,70.81,0.23,0.14,12,63.81,56.67,70.48,0.29,0.14,11,65.4,58.29,70.62,0.25,0.14,11,64.45,59.72,70.14,0.33,0.14,12,66.82,61.14,70.62,0.42,0.14,12,67.79,61.06,74.04,0.47,0.14,12,67.79,63.46,75.48,0.43,0.14,11,66.83,62.02,73.08,0.54,0.13,11,69.71,64.42,77.4
Kosovo,KSV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.39,0.49,1,69.04,39.09,84.77,0.38,0.55,1,69.7,34.85,85.86,-0.5,0.29,2,36.87,14.65,58.08,-0.29,0.26,3,47.8,26.34,58.54,-0.52,0.24,3,38.05,18.05,53.66,-0.51,0.25,4,37.56,19.02,54.63,-0.73,0.22,5,26.7,12.14,41.26,-0.63,0.18,7,32.52,17.96,43.2,-0.58,0.19,8,32.06,20.1,49.28,-0.62,0.16,9,31.9,19.52,43.81,-0.61,0.17,9,31.75,19.91,45.5,-0.65,0.17,9,29.86,18.48,43.13,-0.65,0.18,8,30.33,17.54,45.02,-0.49,0.18,9,36.54,23.08,52.4,-0.54,0.17,9,34.13,20.67,50,-0.41,0.18,8,40.38,26.92,53.85,-0.5,0.17,8,38.46,21.63,49.04
"Macao SAR, China",MAC,0.42,0.48,1,69.35,44.09,84.41,0.46,0.46,1,69.07,44.85,85.05,0.43,0.47,1,69.54,44.16,85.28,-0.06,0.44,1,55.56,26.77,75.76,0.89,0.4,1,80.3,62.12,91.41,1.42,0.4,1,90.73,75.61,97.07,0.52,0.23,2,69.76,58.05,79.02,0.35,0.26,2,66.83,55.61,74.15,0.45,0.3,2,71.36,56.8,79.13,0.44,0.27,2,69.42,58.74,78.16,0.16,0.2,3,62.68,53.59,71.29,0.42,0.2,3,69.52,60.48,73.81,0.44,0.26,3,70.62,57.35,77.73,0.43,0.26,3,70.14,58.77,76.78,0.55,0.25,3,70.62,62.56,80.57,0.85,0.24,3,77.4,68.27,87.02,0.61,0.23,3,70.19,63.46,80.29,0.85,0.26,3,78.37,66.35,88.94,0.64,0.24,3,72.12,62.98,82.21
Morocco,MAR,-0.11,0.26,4,53.23,34.95,63.44,0.11,0.21,6,60.82,48.97,69.07,-0.11,0.22,6,54.31,36.55,63.96,-0.19,0.18,7,50.51,36.87,60.61,-0.26,0.18,9,47.98,34.85,58.59,-0.14,0.16,10,52.68,40.49,58.05,-0.31,0.17,10,47.32,34.63,55.61,-0.41,0.15,13,39.51,30.24,52.68,-0.34,0.15,13,44.66,32.52,54.85,-0.38,0.15,14,41.75,31.07,53.88,-0.33,0.16,14,45.45,32.06,56.46,-0.2,0.16,14,52.86,39.05,60,-0.4,0.15,15,42.18,28.91,54.03,-0.44,0.13,16,39.81,29.38,51.66,-0.37,0.13,16,44.08,34.12,54.03,-0.27,0.13,15,50,36.54,55.29,-0.22,0.14,14,52.4,40.87,57.21,-0.13,0.14,13,53.85,43.27,59.62,-0.13,0.13,13,52.88,44.23,58.65
Monaco,MCO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,MDA,-0.44,0.28,3,39.78,19.35,57.53,-0.42,0.19,6,42.27,29.9,51.55,-0.66,0.19,7,31.47,16.24,43.65,-0.95,0.17,7,19.19,6.06,31.82,-0.85,0.17,8,21.21,10.1,34.85,-0.98,0.16,10,14.63,8.78,26.34,-0.67,0.14,11,30.24,18.05,42.44,-0.64,0.15,12,31.22,19.51,40,-0.66,0.15,13,29.13,18.93,38.83,-0.63,0.14,13,31.55,19.42,40.29,-0.7,0.15,12,26.79,18.18,38.76,-0.67,0.14,13,29.05,19.05,40.48,-0.62,0.14,13,31.28,20.38,43.13,-0.61,0.13,14,31.75,22.27,42.65,-0.75,0.13,13,23.22,16.11,35.55,-0.85,0.13,13,20.67,12.98,29.81,-0.91,0.13,12,18.27,11.06,26.92,-0.95,0.13,12,14.9,11.06,24.52,-0.8,0.12,12,21.15,14.9,30.77
Madagascar,MDG,-0.37,0.32,3,44.09,19.35,60.75,-0.79,0.27,5,26.29,6.7,44.33,-0.45,0.27,5,38.58,21.32,57.36,-0.18,0.26,5,51.52,32.32,63.64,-0.2,0.2,7,51.52,35.35,61.11,-0.28,0.18,8,49.27,33.17,56.1,-0.07,0.18,9,55.12,43.41,60.98,-0.19,0.15,12,52.68,39.02,59.02,-0.19,0.16,12,51.94,37.86,58.25,-0.27,0.15,12,49.03,36.41,57.77,-0.34,0.16,12,44.5,31.1,55.98,-0.43,0.15,13,40.95,28.57,53.33,-0.48,0.15,13,39.34,23.7,50.71,-0.67,0.14,15,28.91,18.96,38.86,-0.75,0.13,16,23.7,16.11,35.55,-0.84,0.13,15,21.63,13.46,30.77,-0.85,0.13,15,20.19,12.98,31.25,-0.9,0.13,15,16.35,12.02,27.4,-1.05,0.13,15,13.46,9.62,18.75
Maldives,MDV,-0.32,0.34,2,46.77,19.35,62.9,-0.38,0.3,3,43.3,22.16,60.31,-0.38,0.27,4,43.15,25.38,58.88,-0.18,0.29,4,51.01,31.82,64.65,-0.05,0.27,4,57.07,36.36,70.2,-0.35,0.25,5,43.9,24.88,56.59,-0.44,0.24,5,42.44,20.98,55.61,-0.6,0.26,5,33.17,16.1,52.68,-0.86,0.26,5,19.9,5.83,38.35,-0.82,0.25,5,21.36,5.83,40.29,-0.67,0.27,5,28.23,11.96,50.72,-0.55,0.26,6,34.76,16.67,54.29,-0.55,0.25,6,34.6,17.54,54.03,-0.7,0.25,6,27.96,11.85,47.39,-0.75,0.26,7,24.17,9.95,45.97,-0.38,0.27,6,43.75,22.6,58.65,-0.48,0.27,6,37.98,17.31,56.25,-0.67,0.27,5,28.85,12.02,50,-0.79,0.27,5,21.63,10.1,44.23
Mexico,MEX,-0.51,0.21,6,36.02,23.12,50.54,-0.45,0.18,7,39.18,29.38,50.52,-0.25,0.19,7,47.72,33.5,58.88,-0.18,0.17,8,52.53,39.39,60.61,-0.17,0.17,9,54.04,40.4,61.11,-0.3,0.15,12,46.34,34.63,54.15,-0.27,0.15,12,49.27,38.05,56.1,-0.26,0.14,15,47.32,37.56,56.1,-0.27,0.15,15,49.03,36.41,56.8,-0.24,0.15,15,50,37.86,58.74,-0.3,0.15,15,47.85,33.97,56.94,-0.36,0.15,16,42.86,31.9,54.29,-0.4,0.14,17,41.71,29.86,53.55,-0.41,0.13,17,42.65,31.28,51.66,-0.51,0.13,16,37.44,26.07,46.92,-0.76,0.13,15,24.52,14.9,34.62,-0.77,0.13,15,23.56,14.42,33.17,-0.72,0.13,15,25.96,14.9,34.62,-0.93,0.12,14,16.35,12.02,25
Marshall Islands,MHL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.58,0.57,1,33.51,0.52,65.98,-0.29,0.39,2,46.19,18.78,65.99,-0.48,0.44,2,37.37,6.06,63.64,-0.83,0.43,2,21.72,0.51,55.56,-0.57,0.41,2,33.66,8.78,57.07,-0.46,0.41,2,40.98,12.68,60.49,-0.55,0.43,2,35.12,7.32,60,-0.61,0.42,2,32.52,5.34,58.25,-0.57,0.44,2,34.47,4.37,61.65,-0.34,0.4,3,43.54,17.7,66.51,-0.33,0.39,3,45.24,16.67,64.76,-0.33,0.4,3,45.97,17.54,66.82,-0.26,0.39,3,48.34,18.96,67.3,-0.04,0.42,2,58.77,26.07,72.99,-0.11,0.48,2,54.33,17.79,74.04,-0.12,0.43,2,54.81,20.67,69.71,-0.05,0.43,2,56.25,22.6,72.6,0,0.45,2,57.21,24.52,75.96
"Macedonia, FYR",MKD,-0.61,0.28,3,32.26,14.52,51.08,-0.51,0.19,5,35.57,24.74,48.97,-0.6,0.19,6,32.49,19.29,46.19,-0.8,0.17,6,26.77,10.61,35.86,-0.64,0.16,8,31.31,18.18,43.43,-0.5,0.15,10,36.1,25.37,50.24,-0.45,0.15,10,41.95,28.78,51.71,-0.37,0.15,11,41.46,32.2,53.66,-0.36,0.15,11,43.2,32.52,54.85,-0.19,0.14,12,52.91,39.32,59.22,-0.13,0.15,12,55.02,42.58,60.77,-0.08,0.14,12,55.71,47.14,62.38,-0.09,0.15,10,55.92,45.5,62.56,-0.04,0.14,11,57.35,47.87,63.03,-0.05,0.14,11,57.35,46.92,63.03,-0.02,0.15,11,56.73,49.52,62.02,-0.26,0.15,11,50,36.54,57.21,-0.29,0.15,11,46.63,33.17,56.25,-0.31,0.15,10,45.19,33.17,54.81
Mali,MLI,-0.78,0.32,3,25.81,3.76,48.92,-0.85,0.27,5,24.23,4.12,42.27,-0.84,0.27,5,24.87,5.58,39.09,-0.68,0.25,6,31.31,10.61,46.97,-0.67,0.2,8,29.8,12.63,44.95,-0.59,0.18,9,31.71,20.49,46.34,-0.5,0.18,9,38.54,22.44,51.71,-0.48,0.16,11,38.54,26.34,48.78,-0.43,0.17,11,38.83,28.16,53.4,-0.53,0.16,11,35.44,21.84,49.03,-0.67,0.16,12,27.75,19.14,40.19,-0.68,0.15,13,28.57,18.1,40.48,-0.64,0.15,13,29.86,19.91,43.13,-0.83,0.15,13,22.27,13.27,33.65,-0.79,0.15,14,22.27,14.69,35.55,-0.75,0.15,13,26.44,14.9,36.06,-0.69,0.14,14,27.4,17.31,40.38,-0.66,0.15,14,29.81,16.35,39.42,-0.63,0.13,14,29.81,18.75,42.31
Malta,MLT,0.48,0.42,2,71.51,49.46,83.87,0.56,0.43,2,72.16,51.55,85.05,0.96,0.43,2,83.25,63.96,92.39,0.8,0.37,2,78.28,62.63,88.89,0.95,0.28,3,81.82,71.72,89.39,0.85,0.27,3,78.54,67.8,87.32,0.82,0.25,3,78.54,67.32,84.39,1.01,0.23,4,80.98,73.17,90.73,1.02,0.24,4,81.55,73.79,91.26,1,0.24,4,81.55,73.79,90.78,0.77,0.2,6,74.16,70.33,82.78,0.79,0.2,6,74.76,70.48,82.86,0.77,0.2,6,73.46,69.67,81.99,0.94,0.19,6,79.15,72.51,85.31,0.98,0.19,6,81.04,73.46,87.2,0.85,0.18,6,77.88,70.67,82.69,0.9,0.18,6,78.85,69.71,84.13,0.72,0.19,6,75.48,66.35,81.25,0.74,0.16,6,76.92,66.83,81.73
Myanmar,MMR,-1.5,0.26,4,1.61,0,14.52,-1.34,0.23,4,2.58,0,17.53,-1.39,0.26,4,3.05,0,16.24,-1.32,0.22,4,3.03,0,17.68,-1.48,0.22,5,1.52,0,10.1,-1.65,0.2,6,0.98,0,7.8,-1.54,0.2,6,0.98,0,9.76,-1.66,0.21,6,0.49,0,6.83,-1.63,0.21,6,0.49,0,6.8,-1.62,0.21,6,0.97,0,4.85,-1.66,0.21,6,0.48,0,4.31,-1.67,0.2,6,0.48,0,3.33,-1.59,0.19,7,0.47,0,5.69,-1.06,0.16,9,13.74,3.32,22.75,-1,0.14,11,16.11,9,22.75,-0.88,0.14,12,20.19,12.5,29.81,-0.84,0.14,12,20.67,12.98,31.25,-0.62,0.14,12,32.21,18.27,42.31,-0.56,0.13,12,32.21,22.12,44.23
Mongolia,MNG,0.11,0.32,3,60.75,41.4,73.12,0.06,0.29,4,57.73,42.27,70.62,-0.31,0.26,5,45.69,27.92,61.42,-0.01,0.26,5,58.08,40.91,71.21,-0.2,0.23,6,51.01,34.34,62.12,-0.4,0.21,7,41.46,25.37,54.63,-0.61,0.19,8,32.68,18.05,47.8,-0.58,0.19,8,34.63,19.51,46.83,-0.61,0.2,9,32.04,18.45,48.54,-0.66,0.18,11,29.61,17.96,41.75,-0.76,0.15,14,24.88,16.75,36.84,-0.74,0.15,14,25.24,16.67,38.1,-0.69,0.15,14,26.07,18.48,39.81,-0.54,0.14,15,35.55,25.59,46.92,-0.48,0.14,14,38.39,26.54,48.82,-0.47,0.14,13,37.02,27.4,50,-0.49,0.13,15,37.5,26.44,48.56,-0.49,0.13,14,36.54,26.92,47.6,-0.45,0.12,14,41.83,27.88,48.08
Montenegro,MNE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.52,0.43,1,71.13,50,85.05,-0.17,0.49,1,53.3,16.24,73.6,-0.15,0.55,1,53.54,11.62,77.78,-0.4,0.29,2,41.92,19.19,60.1,-0.46,0.29,2,38.05,17.56,56.1,-0.35,0.23,3,45.85,25.37,57.07,-0.4,0.21,6,40,25.37,56.1,-0.33,0.19,7,47.09,30.1,56.8,-0.21,0.16,9,51.94,37.86,59.22,-0.2,0.16,9,53.59,37.8,59.81,-0.23,0.15,10,51.43,38.1,58.1,-0.2,0.15,9,53.08,39.81,58.29,-0.11,0.16,9,55.92,43.6,62.09,-0.25,0.17,9,49.76,36.49,59.24,-0.06,0.17,9,55.29,44.71,62.02,-0.13,0.16,10,53.85,42.31,60.58,-0.1,0.17,10,54.33,42.79,62.02,-0.09,0.16,10,54.33,44.23,60.58
Mozambique,MOZ,-0.42,0.26,4,40.86,23.66,57.53,-0.43,0.21,6,41.24,26.8,53.61,-0.43,0.22,6,39.09,26.4,57.36,-0.51,0.19,7,36.36,25.25,49.49,-0.6,0.18,9,32.83,18.69,45.96,-0.6,0.16,11,31.22,20.98,44.88,-0.53,0.16,11,37.07,22.44,49.27,-0.62,0.15,14,32.2,19.51,40.98,-0.52,0.15,14,35.92,23.3,49.03,-0.49,0.15,14,37.86,25.24,49.51,-0.44,0.15,14,40.19,26.79,53.59,-0.45,0.15,14,40.48,27.14,52.86,-0.49,0.15,14,38.86,23.22,50.71,-0.57,0.15,14,34.6,22.75,46.45,-0.6,0.15,15,34.12,21.33,44.08,-0.67,0.14,14,29.33,17.79,40.87,-0.75,0.15,13,24.52,13.94,36.54,-0.88,0.15,12,17.79,12.02,31.73,-0.86,0.14,12,18.75,12.02,29.81
Mauritania,MRT,-0.56,0.34,2,34.41,12.9,57.53,-0.47,0.28,4,37.63,19.07,54.64,-0.45,0.27,4,37.56,19.8,57.36,-0.03,0.28,4,57.07,36.87,71.21,-0.03,0.27,4,57.58,38.89,71.21,-0.53,0.23,6,35.61,18.05,52.68,-0.56,0.21,7,35.61,18.05,51.71,-0.74,0.17,10,26.34,16.59,38.54,-0.58,0.17,10,33.98,19.42,48.54,-0.79,0.17,10,23.3,13.59,36.41,-0.61,0.16,11,30.62,20.1,43.54,-0.72,0.17,11,26.19,16.67,40.48,-0.63,0.16,11,30.81,19.43,44.08,-0.78,0.17,11,24.17,13.27,37.44,-0.83,0.17,12,21.8,11.85,35.07,-0.93,0.17,11,16.83,9.13,29.81,-0.92,0.17,11,17.31,10.1,29.33,-0.74,0.17,11,24.52,13.46,36.54,-0.75,0.17,11,23.08,13.94,38.94
Martinique,MTQ,0.87,0.48,1,80.11,59.14,91.4,0.92,0.46,1,81.96,61.34,92.27,0.9,0.47,1,82.23,61.42,92.39,0.88,0.44,1,80.81,61.11,91.41,0.89,0.4,1,80.3,62.12,91.41,0.9,0.4,1,81.46,60.98,91.71,0.8,0.34,1,77.56,61.95,89.27,0.78,0.42,1,76.59,59.51,91.71,0.79,0.42,1,76.7,59.71,91.75,0.81,0.4,1,77.18,61.65,91.75,0.84,0.43,1,77.03,61.24,90.91,0.82,0.43,1,77.14,60.95,90.95,0.8,0.42,1,75.83,61.14,89.57,0.79,0.43,1,76.3,60.66,90.52,0.79,0.44,1,76.78,59.72,89.57,1.23,0.42,1,87.02,69.23,95.19,1.22,0.42,1,87.02,68.27,95.19,1.23,0.42,1,87.5,68.75,94.71,1.24,0.4,1,86.54,70.67,95.19
